| Station | Official (2024 Raw City/Stn) | App (2024 Processed) | Diff | Result |
|---|---|---|---|---|
| 北海道・札幌 | 7012 | 7012 | 0 | PASS |
| 北海道・函館 | 397 | 397 | 0 | PASS |
| 北海道・小樽 | 346 | 346 | 0 | PASS |
| 北海道・旭川 | 728 | 728 | 0 | PASS |
| 北海道・室蘭 | 135 | 135 | 0 | PASS |
| 北海道・帯広 | 293 | 293 | 0 | PASS |
| 北海道・釧路 | 390 | 390 | 0 | PASS |
| 北海道・北見 | 222 | 223 | 1 | PASS |
| 北海道・岩見沢 | 123 | 123 | 0 | PASS |
| 北海道・苫小牧 | 495 | 495 | 0 | PASS |
| 群馬県・高崎 | 600 | 600 | 0 | PASS |
| 群馬県・高崎問屋町 | 0 | 10 | 10 | FAIL |
| 群馬県・井野 | 0 | 12 | 12 | FAIL |
| 群馬県・新前橋 | 0 | 0 | 0 | PASS |
| 群馬総社 | ERROR | 0 | - | FAIL |
| 群馬県・八木原 | 0 | 3 | 3 | FAIL |
| 群馬県・渋川 | 50 | 50 | 0 | PASS |
| 群馬県・敷島 | 0 | 1 | 1 | PASS |
| 群馬県・津久田 | 0 | 1 | 1 | PASS |
| 群馬県・岩本 | 0 | 1 | 1 | PASS |
| 群馬県・沼田 | 28 | 28 | 0 | PASS |
| 群馬県・後閑 | 0 | 0 | 0 | PASS |
| 群馬県・上牧 | 0 | 1 | 1 | PASS |
| 水上 | ERROR | 0 | - | FAIL |
| 湯檜曽 | ERROR | 0 | - | FAIL |
| 土合 | ERROR | 0 | - | FAIL |
| 土樽 | ERROR | 0 | - | FAIL |
| 越後中里 | ERROR | 0 | - | FAIL |
| 岩原スキー場前 | ERROR | 0 | - | FAIL |
| 越後湯沢 | ERROR | 0 | - | FAIL |
| 群馬県・石打 | 0 | 1 | 1 | PASS |
| 群馬県・大沢 | 0 | 1 | 1 | PASS |
| 上越国際スキー場前 | ERROR | 0 | - | FAIL |
| 群馬県・塩沢 | 0 | 0 | 0 | PASS |
| 六日町 | ERROR | 0 | - | FAIL |
| 五日町 | ERROR | 0 | - | FAIL |
| 浦佐 | ERROR | 0 | - | FAIL |
| 八色 | ERROR | 0 | - | FAIL |
| 群馬県・小出 | 0 | 11 | 11 | FAIL |
| 越後堀之内 | ERROR | 0 | - | FAIL |
| 北堀之内 | ERROR | 0 | - | FAIL |
| 越後川口 | ERROR | 0 | - | FAIL |
| 小千谷 | ERROR | 0 | - | FAIL |
| 越後滝谷 | ERROR | 0 | - | FAIL |
| 宮内 | ERROR | 0 | - | FAIL |
| ガーラ湯沢 | ERROR | 0 | - | FAIL |
| 群馬県・前橋 | 528 | 528 | 0 | PASS |
| 前橋大島 | ERROR | 0 | - | FAIL |
| 群馬県・駒形 | 0 | 13 | 13 | FAIL |
| 群馬県・伊勢崎 | 280 | 280 | 0 | PASS |
| 群馬県・国定 | 0 | 13 | 13 | FAIL |
| 岩宿 | ERROR | 0 | - | FAIL |
| 群馬県・桐生 | 137 | 137 | 0 | PASS |
| 小俣 | ERROR | 0 | - | FAIL |
| 山前 | ERROR | 0 | - | FAIL |
| 足利 | ERROR | 0 | - | FAIL |
| あしかがフラワーパーク | ERROR | 0 | - | FAIL |
| 群馬県・富田 | 0 | 0 | 0 | PASS |
| 群馬県・佐野 | 0 | 12 | 12 | FAIL |
| 岩舟 | ERROR | 0 | - | FAIL |
