都道府県名,駅名,路線名
"北海道","姉別","JR根室本線"
"北海道","石倉","JR函館本線"
"北海道","磯分内","JR釧網本線"
"北海道","伊香牛","JR石北本線"
"北海道","稲積公園","JR函館本線"
"北海道","上尾幌","JR根室本線"
"北海道","植苗","JR千歳線"
"北海道","目名","JR函館本線"
"北海道","追分","JR室蘭本線 / JR石勝線"
"北海道","大岸","JR室蘭本線"
"北海道","大沼公園","JR函館本線"
"北海道","大町","函館市電本線"
"北海道","筬島","JR宗谷本線"
"北海道","渡島沼尻","JR函館支線"
"北海道","掛澗","JR函館支線"
"北海道","学園前","札幌市東豊線"
"北海道","茅沼","JR釧網本線"
"北海道","川端","JR石勝線"
"北海道","北18条","札幌市南北線"
"北海道","北12条","札幌市南北線"
"北海道","北秩父別","JR留萌本線"
"北海道","北美瑛","JR富良野線"
"北海道","釧路湿原","JR釧網本線"
"北海道","栗丘","JR室蘭本線"
"北海道","国縫","JR函館本線"
"北海道","光珠内","JR函館本線"
"北海道","原生花園","JR釧網本線"
"北海道","勇知","JR宗谷本線"
"北海道","小沢","JR函館本線"
"北海道","古山","JR室蘭本線"
"北海道","小幌","JR室蘭本線"
"北海道","駒ヶ岳","JR函館本線"
"北海道","昆布盛","JR根室本線"
"北海道","栄町","札幌市東豊線"
"北海道","咲来","JR宗谷本線"
"北海道","桜岡","JR石北本線"
"北海道","塩狩","JR宗谷本線"
"北海道","鹿部","JR函館支線"
"北海道","然別","JR函館本線"
"北海道","静狩","JR室蘭本線"
"北海道","下沼","JR宗谷本線"
"北海道","市役所前","函館市電本線"
"北海道","十弗","JR根室本線"
"北海道","新道東","札幌市東豊線"
"北海道","新千歳空港","JR千歳線"
"北海道","新吉野","JR根室本線"
"北海道","末広町","函館市電本線"
"北海道","兜沼","JR宗谷本線"
"北海道","札苅","道南いさりび鉄道線"
"北海道","竹浦","JR室蘭本線"
"北海道","智恵文","JR宗谷本線"
"北海道","千歳","JR千歳線"
"北海道","智北","JR宗谷本線"
"北海道","茶志内","JR函館本線"
"北海道","天塩中川","JR宗谷本線"
"北海道","天塩川温泉","JR宗谷本線"
"北海道","問寒別","JR宗谷本線"
"北海道","塘路","JR釧網本線"
"北海道","止別","JR釧網本線"
"北海道","豊沼","JR函館本線"
"北海道","西庶路","JR根室本線"
"北海道","西中","JR富良野線"
"北海道","西帯広","JR根室本線"
"北海道","西和田","JR根室本線"
"北海道","日進","JR宗谷本線"
"北海道","野花南","JR根室本線"
"北海道","浜厚真","JR日高本線"
"北海道","浜小清水","JR釧網本線"
"北海道","緋牛内","JR石北本線"
"北海道","美馬牛","JR富良野線"
"北海道","釜谷","道南いさりび鉄道線"
"北海道","二股","JR函館本線"
"北海道","糠南","JR宗谷本線"
"北海道","別当賀","JR根室本線"
"北海道","北海道医療大学","JR札沼線"
"北海道","富浦","JR室蘭本線"
"北海道","瑞穂","JR宗谷本線"
"北海道","細岡","JR釧網本線"
"北海道","南千歳","JR千歳線 / JR石勝線"
"北海道","峰延","JR函館本線"
"北海道","美留和","JR釧網本線"
"北海道","豊頃","JR根室本線"
"北海道","門静","JR根室本線"
"北海道","社台","JR室蘭本線"
"北海道","安足間","JR石北本線"
"北海道","安国","JR石北本線"
"北海道","山崎","JR函館本線"
"北海道","西女満別","JR石北本線"
"北海道","落石","JR根室本線"
"北海道","蘭留","JR宗谷本線"
"北海道","礼文","JR室蘭本線"
"青森県","有畑","JR大湊線"
"青森県","石川","JR奥羽本線 / 弘南鉄道大鰐線"
"青森県","ウェスパ椿山","JR五能線"
"青森県","追良瀬","JR五能線"
"青森県","大久喜","JR八戸線"
"青森県","大平","JR津軽線"
"青森県","乙供","青い森鉄道線"
"青森県","風合瀬","JR五能線"
"青森県","金谷沢","JR大湊線"
"青森県","狩場沢","青い森鉄道線"
"青森県","金浜","JR八戸線"
"青森県","義塾高校前","弘南鉄道大鰐線"
"青森県","北野辺地","JR大湊線"
"青森県","近川","JR大湊線"
"青森県","小川原","青い森鉄道線"
"青森県","小柳","青い森鉄道線"
"青森県","諏訪ノ平","青い森鉄道線"
"青森県","瀬辺地","JR津軽線"
"青森県","大蛇","JR八戸線"
"青森県","大間越","JR五能線"
"青森県","種差海岸","JR八戸線"
"青森県","千曳","青い森鉄道線"
"青森県","目時","いわて銀河鉄道線 / 青い森鉄道線"
"青森県","津軽湯の沢","JR奥羽本線"
"青森県","津軽宮田","JR津軽線"
"青森県","筒井","青い森鉄道線"
"青森県","有戸","JR大湊線"
"青森県","七戸十和田","東北新幹線"
"青森県","新里","弘南鉄道弘南線"
"青森県","西平内","青い森鉄道線"
"青森県","毘沙門","津軽鉄道"
"青森県","吹越","JR大湊線"
"青森県","艫作","JR五能線"
"青森県","蓬田","JR津軽線"
"青森県","松神","JR五能線"
"青森県","三沢","青い森鉄道線"
"青森県","陸奥柳田","JR五能線"
"青森県","陸奥沢辺","JR五能線"
"青森県","陸奥赤石","JR五能線"
"青森県","陸奥横浜","JR大湊線"
"青森県","横磯","JR五能線"
"青森県","郷沢","JR津軽線"
"岩手県","青山","いわて銀河鉄道線"
"岩手県","赤坂田","JR花輪線"
"岩手県","足ヶ瀬","JR釜石線"
"岩手県","兄畑","JR花輪線"
"岩手県","油島","JR東北本線"
"岩手県","有家","JR八戸線"
"岩手県","綾織","JR釜石線"
"岩手県","荒屋新町","JR花輪線"
"岩手県","荒谷前","JR釜石線"
"岩手県","岩泉小本","三陸鉄道リアス線"
"岩手県","岩沢","JR北上線"
"岩手県","岩手川口","いわて銀河鉄道線"
"岩手県","いわて沼宮内","いわて銀河鉄道線 / 東北新幹線"
"岩手県","岩手二日町","JR釜石線"
"岩手県","岩根橋","JR釜石線"
"岩手県","陸中中野","JR八戸線"
"岩手県","大船渡丸森","JR大船渡BRT線"
"岩手県","奥中山高原","いわて銀河鉄道線"
"岩手県","織笠","三陸鉄道リアス線"
"岩手県","角の浜","JR八戸線"
"岩手県","上有住","JR釜石線"
"岩手県","金ヶ崎","JR東北本線"
"岩手県","区界","JR山田線"
"岩手県","恋し浜","三陸鉄道リアス線"
"岩手県","小繋","いわて銀河鉄道線"
"岩手県","小梨","JR大船渡線"
"岩手県","小屋の畑","JR花輪線"
"岩手県","佐羽根","三陸鉄道リアス線"
"岩手県","侍浜","JR八戸線"
"岩手県","島越","三陸鉄道リアス線"
"岩手県","下船渡","JR大船渡BRT線"
"岩手県","白井海岸","三陸鉄道リアス線"
