station,pref,status,tx,mp_man,year,note
"東京","13","OK",4990,5000,0,""
"品川","13","OK",5668,7500,0,""
"渋谷","13","OK",4960,7500,0,""
"新宿","13","OK",5884,4600,0,""
"池袋","13","OK",5251,3800,0,""
"上野","13","OK",7712,4500,0,""
"秋葉原","13","OK",6933,4900,0,""
"有楽町","13","OK",3105,5800,0,""
"浜松町","13","OK",7029,7500,0,""
"田町","13","OK",6183,7700,0,""
"目黒","13","OK",6017,7000,0,""
"恵比寿","13","OK",6749,7500,0,""
"代々木","13","OK",5153,5100,0,""
"原宿","13","OK",3597,7000,0,""
"吉祥寺","13","OK",2754,5900,0,""
"中野","13","OK",5406,4700,0,""
"高円寺","13","OK",3989,5200,0,""
"荻窪","13","OK",3728,6000,0,""
"三鷹","13","OK",2800,5600,0,""
"立川","13","OK",1511,3600,0,""
"八王子","13","OK",2649,3200,0,""
"赤羽","13","OK",2751,4000,0,""
"王子","13","OK",4192,4000,0,""
"北千住","13","OK",2677,4300,0,""
"錦糸町","13","OK",7018,3900,0,""
"亀戸","13","OK",6005,4000,0,""
"大崎","13","OK",5924,6500,0,""
"五反田","13","OK",6540,6500,0,""
"蒲田","13","OK",4691,3600,0,""
"大森","13","OK",5011,4100,0,""
"横浜","14","OK",779,4000,0,""
"川崎","14","OK",199,2100,0,""
"武蔵小杉","14","OK",260,8850,0,""
"桜木町","14","OK",454,2500,0,""
"関内","14","OK",631,2300,0,""
"藤沢","14","OK",822,4100,0,""
"小田原","14","OK",59,2500,0,""
"相模大野","14","OK",442,4300,0,""
"海老名","14","OK",390,3700,0,""
"本厚木","14","OK",205,2600,0,""
"大宮","11","OK",1028,5050,0,""
"浦和","11","OK",1411,5200,0,""
"川口","11","OK",2090,3500,0,""
"川越","11","OK",181,2700,0,""
"所沢","11","OK",234,3900,0,""
"越谷","11","OK",244,3550,0,""
"春日部","11","OK",429,2300,0,""
"千葉","12","OK",476,3050,0,""
"船橋","12","OK",2123,3300,0,""
"松戸","12","OK",1137,2600,0,""
"市川","12","OK",974,4300,0,""
"柏","12","OK",897,3200,0,""
"津田沼","12","OK",993,3000,0,""
"大阪","27","OK",5531,3100,0,""
"難波","27","OK",3339,3000,0,""
"天王寺","27","OK",1347,2200,0,""
"京橋","27","OK",1107,2900,0,""
"心斎橋","27","OK",5328,3200,0,""
"新大阪","27","OK",255,2000,0,""
"北浜","27","NG",,,,"指定年(2024)にデータが見つかりませんでした (北浜)"
"本町","27","OK",5803,3200,0,""
"名古屋","23","OK",1046,2200,0,""
"栄","23","OK",3622,2800,0,""
"金山","23","OK",675,2800,0,""
"千種","23","OK",2226,3100,0,""
"鶴舞","23","OK",50,3600,0,""
"伏見","23","OK",55,2800,0,""
"博多","40","OK",3188,1400,0,""
"天神","40","OK",3071,1700,0,""
"小倉","40","OK",141,2500,0,""
"西新","40","OK",925,3900,0,""
"薬院","40","OK",4670,1600,0,""
"大橋","40","OK",485,2300,0,""
"札幌","01","OK",457,2600,0,""
"大通","01","OK",457,2600,0,""
"すすきの","01","OK",457,2600,0,""
"琴似","01","OK",396,2400,0,""
"仙台","04","OK",1930,2800,0,""
"長町","04","OK",486,2700,0,""
"広島","34","OK",374,3500,0,""
"横川","34","NG",,,,"指定年(2024)にデータが見つかりませんでした (横川)"
"京都","26","OK",528,2600,0,""
"四条","26","OK",532,3200,0,""
"烏丸御池","26","OK",422,3350,0,""
"西院","26","OK",443,2500,0,""
"三ノ宮","28","OK",1262,3500,0,""
"神戸","28","OK",291,3900,0,""
"尼崎","28","NG",,,,"指定年(2024)にデータが見つかりませんでした (尼崎)"
"西宮北口","28","OK",52,3000,0,""
"静岡","22","OK",285,3800,0,""
"浜松","22","OK",299,2900,0,""
"岡山","33","OK",313,3200,0,""
"熊本","43","OK",169,2900,0,""
"おもろまち","47","OK",435,4400,0,""
