J1101: J1101_生活保護被保護実世帯数
J1102: J1102_現に保護を受けた生活保護被保護実世帯数
J110201: J110201_現に保護を受けた生活保護被保護実世帯数（母子世帯）
J110202: J110202_現に保護を受けた生活保護被保護実世帯数（傷病・障害者世帯）
J110203: J110203_現に保護を受けた生活保護被保護実世帯数（高齢者世帯）
J110204: J110204_現に保護を受けた医療扶助単給世帯数
J1103: J1103_保護開始世帯数
J110301: J110301_保護開始世帯数（母子世帯）
J110302: J110302_保護開始世帯数（高齢者世帯）
J110303: J110303_保護開始世帯数（その他の世帯）
J1104: J1104_生活保護扶助世帯数
J110401: J110401_生活保護扶助世帯数（生活）
J110402: J110402_生活保護扶助世帯数（住宅）
J110403: J110403_生活保護扶助世帯数（教育）
J110404: J110404_生活保護扶助世帯数（医療）
J1104041: J1104041_生活保護扶助世帯数（介護）
J110405: J110405_生活保護扶助世帯数（出産）
J110406: J110406_生活保護扶助世帯数（生業）
J110407: J110407_生活保護扶助世帯数（葬祭）
J1105: J1105_生活保護被保護実人員
J1106: J1106_生活保護扶助人員
J110601: J110601_生活保護扶助人員（生活）
J110602: J110602_生活保護扶助人員（住宅）
J110603: J110603_生活保護扶助人員（教育）
J110604: J110604_生活保護扶助人員（医療）
J1106041: J1106041_生活保護扶助人員（介護）
J110605: J110605_生活保護扶助人員（出産）
J110606: J110606_生活保護扶助人員（生業）
J110607: J110607_生活保護扶助人員（葬祭）
J110702: J110702_生活保護被保護高齢者数（65歳以上）
J110703: J110703_教育扶助受給人員、小－中学校
J110704: J110704_高等学校等就学費受給人員
J1200: J1200_身体障害者手帳交付数
J120001: J120001_身体障害者手帳交付数（18歳以上）
J120002: J120002_身体障害者手帳交付数（18歳未満）
J1201: J1201_身体障害者手帳交付数（視覚障害）
J120101: J120101_身体障害者手帳交付数（視覚障害）（18歳以上）
J120102: J120102_身体障害者手帳交付数（視覚障害）（18歳未満）
J1202: J1202_身体障害者手帳交付数（聴覚・平衡機能障害）
J120201: J120201_身体障害者手帳交付数（聴覚・平衡機能障害）（18歳以上）
J120202: J120202_身体障害者手帳交付数（聴覚・平衡機能障害）（18歳未満）
J1203: J1203_身体障害者手帳交付数（音声・言語・そしゃく機能障害）
J120301: J120301_身体障害者手帳交付数（音声・言語・そしゃく機能障害）（18歳以上）
J120302: J120302_身体障害者手帳交付数（音声・言語・そしゃく機能障害）（18歳未満）
J1204: J1204_身体障害者手帳交付数（肢体不自由障害）
J120401: J120401_身体障害者手帳交付数（肢体不自由障害）（18歳以上）
J120402: J120402_身体障害者手帳交付数（肢体不自由障害）（18歳未満）
