C120110: C120110_課税対象所得
C120120: C120120_納税義務者数（所得割）
C120130: C120130_納税義務者数（均等割）
C2101: C2101_事業所数（事業所・企業統計調査結果）
C2104: C2104_第2次産業事業所数（事業所・企業統計調査結果）
C2105: C2105_第3次産業事業所数（事業所・企業統計調査結果）
C2107: C2107_事業所数（経済センサス‐基礎調査結果）
C210701: C210701_事業所数（公務を除く）
C210702: C210702_事業所数（農林漁業）
C210703: C210703_事業所数（農業、林業）
C210704: C210704_事業所数（漁業）
C210705: C210705_事業所数（非農林漁業）
C210706: C210706_事業所数（非農林漁業（公務を除く））
C210707: C210707_事業所数（鉱業、採石業、砂利採取業）
C210708: C210708_事業所数（建設業）
C210709: C210709_事業所数（製造業）
C210710: C210710_事業所数（電気・ガス・熱供給・水道業）
C210711: C210711_事業所数（情報通信業）
C210712: C210712_事業所数（運輸業、郵便業）
C210713: C210713_事業所数（卸売業、小売業）
C210714: C210714_事業所数（卸売業）
C210715: C210715_事業所数（小売業）
C210716: C210716_事業所数（金融業、保険業）
C210717: C210717_事業所数（不動産業、物品賃貸業）
C210718: C210718_事業所数（学術研究、専門・技術サービス業）
C210719: C210719_事業所数（宿泊業、飲食サービス業）
C210720: C210720_事業所数（生活関連サービス業、娯楽業）
C210721: C210721_事業所数（教育、学習支援業）
C210722: C210722_事業所数（医療、福祉）
C210723: C210723_事業所数（複合サービス事業）
C210724: C210724_事業所数（サービス業（他に分類されないもの））
C210725: C210725_事業所数（公務（他に分類されるものを除く））
C2108: C2108_事業所数（民営）
C210801: C210801_事業所数（民営）従業者1～4人
C210802: C210802_事業所数（民営）従業者5～9人
C210803: C210803_事業所数（民営）従業者10～29人
C210804: C210804_事業所数（民営）従業者30～49人
C210805: C210805_事業所数（民営）従業者50～99人
C210820: C210820_事業所数（民営）（個人事業所）（経済センサス‐基礎調査及び活動調査結果）
C210821: C210821_事業所数（民営）（法人事業所）（経済センサス‐基礎調査及び活動調査結果）
C210822: C210822_事業所数（民営）（会社事業所）（経済センサス‐基礎調査及び活動調査結果）
C210823: C210823_事業所数（民営）（会社以外の法人）
C210831: C210831_事業所数（民営）（農林漁業）
C210832: C210832_事業所数（民営）（農業、林業）
C210833: C210833_事業所数（民営）（漁業）
C210834: C210834_事業所数（民営）（非農林漁業（公務を除く））
C210835: C210835_事業所数（民営）（鉱業、採石業、砂利採取業）
C210836: C210836_事業所数（民営）（建設業）
C210837: C210837_事業所数（民営）（製造業）
C210838: C210838_事業所数（民営）（電気・ガス・熱供給・水道業）
C210839: C210839_事業所数（民営）（情報通信業）
C210840: C210840_事業所数（民営）（運輸業、郵便業）
C210841: C210841_事業所数（民営）（卸売業、小売業）
C210842: C210842_事業所数（民営）（卸売業）
C210843: C210843_事業所数（民営）（小売業）
C210844: C210844_事業所数（民営）（金融業、保険業）
C210845: C210845_事業所数（民営）（不動産業、物品賃貸業）
C210846: C210846_事業所数（民営）（学術研究、専門・技術サービス業）
C210847: C210847_事業所数（民営）（宿泊業、飲食サービス業）
C210848: C210848_事業所数（民営）（生活関連サービス業、娯楽業）
C210849: C210849_事業所数（民営）（教育、学習支援業）
C210850: C210850_事業所数（民営）（医療、福祉）
C210851: C210851_事業所数（民営）（複合サービス事業）
C210852: C210852_事業所数（民営）（サービス業（他に分類されないもの））
C2109: C2109_事業所数（国・地方公共団体）（経済センサス‐基礎調査結果）
C210901: C210901_事業所数（国）（経済センサス‐基礎調査結果）
C210902: C210902_事業所数（地方公共団体）（経済センサス‐基礎調査結果）
C210903: C210903_事業所数（都道府県）（経済センサス‐基礎調査結果）
C210904: C210904_事業所数（市町村）（経済センサス‐基礎調査結果）
C2110: C2110_第1次産業事業所数（経済センサス‐基礎調査結果）
C2111: C2111_第2次産業事業所数（経済センサス‐基礎調査結果）
C2112: C2112_第3次産業事業所数（経済センサス‐基礎調査結果）
C2201: C2201_従業者数（事業所・企業統計調査結果）
C2204: C2204_第2次産業従業者数（事業所・企業統計調査結果）
C2205: C2205_第3次産業従業者数（事業所・企業統計調査結果）
C2207: C2207_従業者数（経済センサス‐基礎調査結果）
C220701: C220701_従業者数（公務を除く）
C220702: C220702_従業者数（農林漁業）
C220703: C220703_従業者数（農業、林業）
C220704: C220704_従業者数（漁業）
C220705: C220705_従業者数（非農林漁業）
C220706: C220706_従業者数（非農林漁業（公務を除く））
C220707: C220707_従業者数（鉱業、採石業、砂利採取業）
C220708: C220708_従業者数（建設業）
C220709: C220709_従業者数（製造業）
C220710: C220710_従業者数（電気・ガス・熱供給・水道業）
C220711: C220711_従業者数（情報通信業）
C220712: C220712_従業者数（運輸業、郵便業）
C220713: C220713_従業者数（卸売業、小売業）
C220714: C220714_従業者数（卸売業）
C220715: C220715_従業者数（小売業）
C220716: C220716_従業者数（金融業、保険業）
C220717: C220717_従業者数（不動産業、物品賃貸業）
C220718: C220718_従業者数（学術研究、専門・技術サービス業）
C220719: C220719_従業者数（宿泊業、飲食サービス業）
C220720: C220720_従業者数（生活関連サービス業、娯楽業）
C220721: C220721_従業者数（教育、学習支援業）
C220722: C220722_従業者数（医療、福祉）
C220723: C220723_従業者数（複合サービス事業）
C220724: C220724_従業者数（サービス業（他に分類されないもの））
C220725: C220725_従業者数（公務（他に分類されるものを除く））
C2208: C2208_従業者数（民営）
C220801: C220801_従業者数（民営）従業者1～4人
C220802: C220802_従業者数（民営）従業者5～9人
C220803: C220803_従業者数（民営）従業者10～29人
