J2201: J2201_保護施設数（詳細票）（医療保護施設を除く）
J2221: J2221_保護施設数（基本票）（医療保護施設を除く）
J2301: J2301_老人福祉施設数（詳細票）
J230111: J230111_養護老人ホーム数（詳細票）
J230112: J230112_養護老人ホーム定員数（詳細票）
J230113: J230113_養護老人ホーム在所者数（詳細票）
J230121: J230121_介護老人福祉施設数（詳細票）
J230124: J230124_介護老人福祉施設定員数（詳細票）
J230127: J230127_介護老人福祉施設数（基本票）
J230128: J230128_介護老人福祉施設定員数（基本票）
J230131: J230131_軽費老人ホーム数（詳細票）
J230132: J230132_軽費老人ホーム定員数（詳細票）
J230133: J230133_軽費老人ホーム在所者数（詳細票）
J230141: J230141_老人福祉センター数
J230191: J230191_老人介護支援センター数
J230211: J230211_老人憩の家数
J230221: J230221_有料老人ホーム数（詳細票）
J230222: J230222_有料老人ホーム定員数（詳細票）
J230223: J230223_有料老人ホーム在所者数（詳細票）
J2303: J2303_その他の社会福祉施設等数
J2304: J2304_老人福祉施設数（基本票）
J230411: J230411_養護老人ホーム数（基本票）
J230412: J230412_養護老人ホーム定員数（基本票）
J230421: J230421_有料老人ホーム数（基本票）
J230422: J230422_有料老人ホーム定員数（基本票）
J230431: J230431_軽費老人ホーム数（基本票）
J230432: J230432_軽費老人ホーム定員数（基本票）
J232101: J232101_老人ホーム数
J2401: J2401_身体障害者更生援護施設数
J2402: J2402_身体障害者更生援護施設定員数
J2403: J2403_身体障害者更生援護施設在所者数
J2501: J2501_児童福祉施設等数（詳細票）
J250204: J250204_児童福祉施設等数（基本票）
J2503: J2503_保育所等数（詳細票）
J250301: J250301_公営保育所等数（詳細票）
J250302: J250302_保育所等数（基本票）
J250303: J250303_公営保育所等数（基本票）
J2506: J2506_保育所等在所児数（詳細票）
J250604: J250604_公営保育所等在所児数（詳細票）
J2545: J2545_幼保連携型認定こども園在所児数
J2546: J2546_保育所型認定こども園在所児数
J2641: J2641_へき地保育所数
J2642: J2642_へき地保育所在所児数
J2701: J2701_知的障害者援護施設数
J2702: J2702_知的障害者援護施設定員数
J2703: J2703_知的障害者援護施設在所者数
J2801: J2801_母子・父子福祉施設数（詳細票）
J2804: J2804_母子・父子福祉施設数（基本票）
J2901: J2901_障害者支援施設等数（詳細票）
J2902: J2902_精神障害者社会復帰施設数
J2903: J2903_身体障害者社会参加支援施設数
J2904: J2904_婦人保護施設数（詳細票）
J2905: J2905_障害者支援施設等数（基本票）
J2906: J2906_婦人保護施設数（基本票）
J4101: J4101_国民健康保険被保険者数
J4102: J4102_国民健康保険給付件数
J4104: J4104_国民健康保険医療費件数（診療費）
J4106: J4106_国民健康保険被保険者受診率（1000人当たり）
J4107: J4107_国民健康保険被保険者1人当たり診療費
J4108: J4108_国民健康保険給付金額
J4109: J4109_国民健康保険医療費金額（診療費）
